"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.psi","r","case","sp"
"sigma.p.sp",2.576,2.196,3.12,0.998,NA,"0.5","0","3","allall","ms"
"p.yr",0.415,0.208,0.614,1.043,0.5,"0.5","0","3","allall","ms"
"sigma.p.site",2.563,2.497,2.628,1.023,1.5,"0.5","0","3","allall","ms"
"per_chage_bci",-1.45217502064174,-4.57192396935491,1.56757412094171,NA,0,"0.5","0","3","allall","ms"
"mu.psi",-1.081,-1.324,-0.924,3.601,0,"1","0","3","allall","ms"
"sigma.psi.sp",0.888,0.743,1.064,1.018,0.5,"1","0","3","allall","ms"
"mu.psi.yr",0.023,-0.027,0.073,1.002,0,"1","0","3","allall","ms"
"sigma.psi.yr",0.169,0.124,0.223,1,0.2,"1","0","3","allall","ms"
"mu.p",-1.144,-1.587,-0.78,3.708,-0.5,"1","0","3","allall","ms"
"sigma.p.sp",2.75,2.34,3.336,1.051,NA,"1","0","3","allall","ms"
"p.yr",0.937,0.792,1.081,1.045,1,"1","0","3","allall","ms"
"sigma.p.site",2.746,2.671,2.817,0.997,1.5,"1","0","3","allall","ms"
"per_chage_bci",1.72658404357525,-2.07546209743915,5.72109072685897,NA,0,"1","0","3","allall","ms"
"mu.psi",-1.009,-1.202,-0.816,2.826,0,"-0.5","0","4","allall","ms"
"sigma.psi.sp",0.905,0.754,1.099,1.124,0.5,"-0.5","0","4","allall","ms"
"mu.psi.yr",-0.05,-0.093,-0.001,1.046,0,"-0.5","0","4","allall","ms"
"sigma.psi.yr",0.145,0.092,0.203,1.024,0.2,"-0.5","0","4","allall","ms"
"mu.p",-1.243,-1.552,-0.708,6.899,-0.5,"-0.5","0","4","allall","ms"
"sigma.p.sp",2.333,1.951,2.827,1.118,NA,"-0.5","0","4","allall","ms"
"p.yr",-0.469,-0.656,-0.34,1.16,-0.5,"-0.5","0","4","allall","ms"
"sigma.p.site",2.558,2.487,2.625,0.997,1.5,"-0.5","0","4","allall","ms"
"per_chage_bci",-3.58366393147677,-6.75375468778208,-0.0760856549620848,NA,0,"-0.5","0","4","allall","ms"
"mu.psi",-1.213,-1.334,-1.018,1.981,0,"-1","0","4","allall","ms"
"sigma.psi.sp",0.84,0.692,0.998,1.001,0.5,"-1","0","4","allall","ms"
"mu.psi.yr",-0.062,-0.126,0.002,1.012,0,"-1","0","4","allall","ms"
"sigma.psi.yr",0.193,0.139,0.25,1.009,0.2,"-1","0","4","allall","ms"
"mu.p",-1.158,-1.481,-0.855,1.312,-0.5,"-1","0","4","allall","ms"
"sigma.p.sp",2.249,1.885,2.668,1.006,NA,"-1","0","4","allall","ms"
"p.yr",-0.956,-1.131,-0.805,1.122,-1,"-1","0","4","allall","ms"
"sigma.p.site",2.374,2.3,2.438,1.002,1.5,"-1","0","4","allall","ms"
"per_chage_bci",-4.68665351244419,-9.47341444987697,0.158647781559027,NA,0,"-1","0","4","allall","ms"
"mu.psi",-1.135,-1.272,-0.929,1.038,0,"0","0","4","allall","ms"
"sigma.psi.sp",0.866,0.732,1.058,1.005,0.5,"0","0","4","allall","ms"
"mu.psi.yr",-0.017,-0.064,0.03,1.001,0,"0","0","4","allall","ms"
"sigma.psi.yr",0.14,0.099,0.186,1.018,0.2,"0","0","4","allall","ms"
"mu.p",-1.384,-1.727,-1.071,4.333,-0.5,"0","0","4","allall","ms"
"sigma.p.sp",2.297,1.965,2.84,1.056,NA,"0","0","4","allall","ms"
"p.yr",-0.029,-0.197,0.128,1.363,0,"0","0","4","allall","ms"
"sigma.p.site",2.544,2.472,2.617,1.015,1.5,"0","0","4","allall","ms"
"per_chage_bci",-1.23583375743237,-4.67618113150446,2.293828886146,NA,0,"0","0","4","allall","ms"
"mu.psi",-1.075,-1.226,-0.918,2.861,0,"0.5","0","4","allall","ms"
"sigma.psi.sp",0.88,0.733,1.049,1.032,0.5,"0.5","0","4","allall","ms"
"mu.psi.yr",0.035,-0.014,0.075,1.017,0,"0.5","0","4","allall","ms"
"sigma.psi.yr",0.106,0.05,0.154,1.112,0.2,"0.5","0","4","allall","ms"
"mu.p",-1.271,-1.527,-1.001,2.123,-0.5,"0.5","0","4","allall","ms"
"sigma.p.sp",2.529,2.089,2.984,1.016,NA,"0.5","0","4","allall","ms"
"p.yr",0.478,0.337,0.619,1.098,0.5,"0.5","0","4","allall","ms"
"sigma.p.site",2.668,2.602,2.739,0.998,1.5,"0.5","0","4","allall","ms"
"per_chage_bci",2.62390351698603,-1.05620768757573,5.69885534585527,NA,0,"0.5","0","4","allall","ms"
"mu.psi",-0.973,-1.167,-0.696,2.264,0,"1","0","4","allall","ms"
"sigma.psi.sp",0.849,0.687,1.027,1.047,0.5,"1","0","4","allall","ms"
"mu.psi.yr",0,-0.064,0.056,1.007,0,"1","0","4","allall","ms"
"sigma.psi.yr",0.187,0.142,0.243,1.019,0.2,"1","0","4","allall","ms"
"mu.p",-1.186,-1.633,-0.848,1.96,-0.5,"1","0","4","allall","ms"
"sigma.p.sp",2.488,2.077,3.079,1.022,NA,"1","0","4","allall","ms"
"p.yr",0.946,0.764,1.105,1.476,1,"1","0","4","allall","ms"
"sigma.p.site",2.672,2.605,2.729,1,1.5,"1","0","4","allall","ms"
"per_chage_bci",0.0456340107640219,-4.66750917378078,4.19154494825877,NA,0,"1","0","4","allall","ms"
"mu.psi",-1.299,-1.46,-1.138,2.6,0,"-0.5","0","5","allall","ms"
"sigma.psi.sp",0.868,0.729,1.042,1.014,0.5,"-0.5","0","5","allall","ms"
"mu.psi.yr",-0.042,-0.1,0.015,1.006,0,"-0.5","0","5","allall","ms"
"sigma.psi.yr",0.167,0.114,0.219,1.05,0.2,"-0.5","0","5","allall","ms"
"mu.p",-1.371,-1.657,-1.076,1.667,-0.5,"-0.5","0","5","allall","ms"
"sigma.p.sp",2.318,1.975,2.821,1.013,NA,"-0.5","0","5","allall","ms"
"p.yr",-0.383,-0.559,-0.232,1.203,-0.5,"-0.5","0","5","allall","ms"
"sigma.p.site",2.541,2.472,2.61,1.002,1.5,"-0.5","0","5","allall","ms"
"per_chage_bci",-3.20385987207653,-7.58659521314174,1.23003294568307,NA,0,"-0.5","0","5","allall","ms"
"mu.psi",-1.017,-1.146,-0.892,2.72,0,"-1","0","5","allall","ms"
"sigma.psi.sp",0.881,0.732,1.081,1.009,0.5,"-1","0","5","allall","ms"
"mu.psi.yr",-0.049,-0.118,0.019,1.029,0,"-1","0","5","allall","ms"
"sigma.psi.yr",0.221,0.16,0.286,1.057,0.2,"-1","0","5","allall","ms"
"mu.p",-1.413,-1.925,-0.9,3.732,-0.5,"-1","0","5","allall","ms"
"sigma.p.sp",2.273,1.915,2.731,1.041,NA,"-1","0","5","allall","ms"
"p.yr",-0.994,-1.126,-0.866,1.115,-1,"-1","0","5","allall","ms"
"sigma.p.site",2.442,2.367,2.506,0.997,1.5,"-1","0","5","allall","ms"
"per_chage_bci",-3.54639903864875,-8.2464757894598,1.36672993061187,NA,0,"-1","0","5","allall","ms"
"mu.psi",-1.111,-1.232,-0.966,1.198,0,"0","0","5","allall","ms"
"sigma.psi.sp",0.877,0.734,1.034,1,0.5,"0","0","5","allall","ms"
"mu.psi.yr",0.015,-0.031,0.059,1.029,0,"0","0","5","allall","ms"
"sigma.psi.yr",0.112,0.066,0.16,1.032,0.2,"0","0","5","allall","ms"
"mu.p",-1.576,-1.92,-1.09,3.075,-0.5,"0","0","5","allall","ms"
"sigma.p.sp",2.395,2.043,2.918,1.017,NA,"0","0","5","allall","ms"
"p.yr",0.025,-0.123,0.197,1.077,0,"0","0","5","allall","ms"
"sigma.p.site",2.457,2.379,2.524,1,1.5,"0","0","5","allall","ms"
"per_chage_bci",1.12193852983718,-2.28134880693713,4.46882788490649,NA,0,"0","0","5","allall","ms"
"mu.psi",-1.101,-1.356,-0.865,1.888,0,"0.5","0","5","allall","ms"
