"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.psi","r","case","sp"
"mu.p",-1.293,-1.562,-0.865,2.927,-0.5,"1","0","2","allall","ms"
"sigma.p.sp",2.415,1.996,2.898,1.045,NA,"1","0","2","allall","ms"
"p.yr",-0.42,-0.564,-0.311,1.155,-0.5,"1","0","2","allall","ms"
"sigma.p.site",2.525,2.457,2.599,1.016,1.5,"1","0","2","allall","ms"
"per_chage_bci",45.3346546024729,38.133116259378,52.6960381905705,NA,46.211715726001,"1","0","2","allall","ms"
"mu.psi",-1.171,-1.317,-1.025,1.459,0,"-0.5","0","3","allall","ms"
"sigma.psi.sp",0.862,0.716,1.034,1.005,0.5,"-0.5","0","3","allall","ms"
"mu.psi.yr",-0.42,-0.481,-0.358,1.018,-0.5,"-0.5","0","3","allall","ms"
"sigma.psi.yr",0.202,0.143,0.261,1.023,0.2,"-0.5","0","3","allall","ms"
"mu.p",-1.414,-1.573,-1.136,1.513,-0.5,"-0.5","0","3","allall","ms"
"sigma.p.sp",2.226,1.892,2.665,1.025,NA,"-0.5","0","3","allall","ms"
"p.yr",-0.501,-0.654,-0.308,1.066,-0.5,"-0.5","0","3","allall","ms"
"sigma.p.site",2.499,2.432,2.564,1.01,1.5,"-0.5","0","3","allall","ms"
"per_chage_bci",-28.4386301501253,-32.0445002730209,-24.8954760829045,NA,-24.4918662403709,"-0.5","0","3","allall","ms"
"mu.psi",-1.015,-1.213,-0.833,3.377,0,"-1","0","3","allall","ms"
"sigma.psi.sp",0.925,0.75,1.104,1.095,0.5,"-1","0","3","allall","ms"
"mu.psi.yr",-0.815,-0.882,-0.751,1.029,-1,"-1","0","3","allall","ms"
"sigma.psi.yr",0.195,0.142,0.252,1.015,0.2,"-1","0","3","allall","ms"
"mu.p",-1.497,-1.885,-0.928,5.383,-0.5,"-1","0","3","allall","ms"
"sigma.p.sp",2.311,1.937,2.788,1.055,NA,"-1","0","3","allall","ms"
"p.yr",-0.63,-0.779,-0.48,1.055,-0.5,"-1","0","3","allall","ms"
"sigma.p.site",2.478,2.399,2.555,1.011,1.5,"-1","0","3","allall","ms"
"per_chage_bci",-47.9545353389572,-51.5546657700311,-45.1783023273128,NA,-46.211715726001,"-1","0","3","allall","ms"
"mu.psi",-1.057,-1.158,-0.976,1.451,0,"0","0","3","allall","ms"
"sigma.psi.sp",0.888,0.745,1.08,1.018,0.5,"0","0","3","allall","ms"
"mu.psi.yr",-0.02,-0.071,0.034,1.007,0,"0","0","3","allall","ms"
"sigma.psi.yr",0.161,0.117,0.209,1.013,0.2,"0","0","3","allall","ms"
"mu.p",-1.528,-1.984,-1.012,3.928,-0.5,"0","0","3","allall","ms"
"sigma.p.sp",2.273,1.93,2.678,1.071,NA,"0","0","3","allall","ms"
"p.yr",-0.429,-0.573,-0.294,1.123,-0.5,"0","0","3","allall","ms"
"sigma.p.site",2.388,2.325,2.454,1.012,1.5,"0","0","3","allall","ms"
"per_chage_bci",-1.45200512016713,-5.19707931306127,2.56321050029404,NA,0,"0","0","3","allall","ms"
"mu.psi",-1.019,-1.277,-0.735,3.382,0,"0.5","0","3","allall","ms"
"sigma.psi.sp",0.987,0.834,1.249,1.093,0.5,"0.5","0","3","allall","ms"
"mu.psi.yr",0.307,0.247,0.366,1.01,0.5,"0.5","0","3","allall","ms"
"sigma.psi.yr",0.216,0.166,0.285,1.03,0.2,"0.5","0","3","allall","ms"
"mu.p",-1.348,-1.521,-1.023,1.573,-0.5,"0.5","0","3","allall","ms"
"sigma.p.sp",2.25,1.899,2.649,1.001,NA,"0.5","0","3","allall","ms"
"p.yr",-0.549,-0.719,-0.392,1.09,-0.5,"0.5","0","3","allall","ms"
"sigma.p.site",2.416,2.361,2.477,0.998,1.5,"0.5","0","3","allall","ms"
"per_chage_bci",24.1424228219403,18.1199113115557,30.0170612869607,NA,24.4918662403709,"0.5","0","3","allall","ms"
"mu.psi",-1.107,-1.402,-0.848,4.674,0,"1","0","3","allall","ms"
"sigma.psi.sp",0.915,0.766,1.081,1.015,0.5,"1","0","3","allall","ms"
"mu.psi.yr",0.557,0.462,0.639,1.025,1,"1","0","3","allall","ms"
"sigma.psi.yr",0.265,0.204,0.345,1.031,0.2,"1","0","3","allall","ms"
"mu.p",-1.376,-1.653,-1.009,2.539,-0.5,"1","0","3","allall","ms"
"sigma.p.sp",2.385,1.997,2.868,1.033,NA,"1","0","3","allall","ms"
"p.yr",-0.486,-0.673,-0.299,1.363,-0.5,"1","0","3","allall","ms"
"sigma.p.site",2.512,2.444,2.586,1.016,1.5,"1","0","3","allall","ms"
"per_chage_bci",47.2777568382704,38.3876520703555,59.0885153488638,NA,46.211715726001,"1","0","3","allall","ms"
"mu.psi",-1.115,-1.238,-0.931,1.611,0,"-0.5","0","4","allall","ms"
"sigma.psi.sp",0.875,0.736,1.066,0.997,0.5,"-0.5","0","4","allall","ms"
"mu.psi.yr",-0.389,-0.445,-0.333,1.009,-0.5,"-0.5","0","4","allall","ms"
"sigma.psi.yr",0.159,0.102,0.224,1.052,0.2,"-0.5","0","4","allall","ms"
"mu.p",-1.312,-1.666,-0.844,3.246,-0.5,"-0.5","0","4","allall","ms"
"sigma.p.sp",2.284,1.913,2.759,1.032,NA,"-0.5","0","4","allall","ms"
"p.yr",-0.478,-0.627,-0.333,1.192,-0.5,"-0.5","0","4","allall","ms"
"sigma.p.site",2.53,2.461,2.608,1.001,1.5,"-0.5","0","4","allall","ms"
"per_chage_bci",-26.3638360843691,-29.4630680411366,-22.7476428609954,NA,-24.4918662403709,"-0.5","0","4","allall","ms"
"mu.psi",-1.084,-1.285,-0.88,2.641,0,"-1","0","4","allall","ms"
"sigma.psi.sp",0.841,0.712,1.016,1.056,0.5,"-1","0","4","allall","ms"
"mu.psi.yr",-0.788,-0.84,-0.734,1.021,-1,"-1","0","4","allall","ms"
"sigma.psi.yr",0.149,0.099,0.2,1.007,0.2,"-1","0","4","allall","ms"
"mu.p",-1.472,-1.661,-1.176,1.317,-0.5,"-1","0","4","allall","ms"
"sigma.p.sp",2.263,1.889,2.716,1.002,NA,"-1","0","4","allall","ms"
"p.yr",-0.542,-0.69,-0.415,1.07,-0.5,"-1","0","4","allall","ms"
"sigma.p.site",2.469,2.397,2.536,1,1.5,"-1","0","4","allall","ms"
"per_chage_bci",-47.2274117464388,-49.7037988497792,-44.6600367274526,NA,-46.211715726001,"-1","0","4","allall","ms"
"mu.psi",-1.117,-1.242,-1.001,1.212,0,"0","0","4","allall","ms"
"sigma.psi.sp",0.857,0.716,1.034,1.022,0.5,"0","0","4","allall","ms"
"mu.psi.yr",-0.052,-0.108,0.008,1.017,0,"0","0","4","allall","ms"
"sigma.psi.yr",0.162,0.112,0.224,1.016,0.2,"0","0","4","allall","ms"
"mu.p",-1.407,-1.688,-1.156,2.647,-0.5,"0","0","4","allall","ms"
"sigma.p.sp",2.233,1.9,2.676,1.032,NA,"0","0","4","allall","ms"
"p.yr",-0.442,-0.577,-0.31,1.245,-0.5,"0","0","4","allall","ms"
"sigma.p.site",2.498,2.43,2.576,1.031,1.5,"0","0","4","allall","ms"
"per_chage_bci",-3.81955319247555,-7.81180262653513,0.594433682206307,NA,0,"0","0","4","allall","ms"
"mu.psi",-1.014,-1.206,-0.84,1.764,0,"0.5","0","4","allall","ms"
"sigma.psi.sp",0.899,0.747,1.074,1.049,0.5,"0.5","0","4","allall","ms"
"mu.psi.yr",0.253,0.194,0.312,1.018,0.5,"0.5","0","4","allall","ms"
"sigma.psi.yr",0.176,0.128,0.23,1.06,0.2,"0.5","0","4","allall","ms"
"mu.p",-1.398,-1.69,-1.122,2.067,-0.5,"0.5","0","4","allall","ms"
"sigma.p.sp",2.297,1.931,2.751,1.04,NA,"0.5","0","4","allall","ms"
"p.yr",-0.391,-0.575,-0.19,1.064,-0.5,"0.5","0","4","allall","ms"
"sigma.p.site",2.505,2.442,2.579,1.02,1.5,"0.5","0","4","allall","ms"
"per_chage_bci",19.6600661613787,14.5907601391005,25.1785075678176,NA,24.4918662403709,"0.5","0","4","allall","ms"
"mu.psi",-1.189,-1.387,-1.026,3.447,0,"1","0","4","allall","ms"
"sigma.psi.sp",0.837,0.702,1.001,1.006,0.5,"1","0","4","allall","ms"
"mu.psi.yr",0.552,0.467,0.629,1.009,1,"1","0","4","allall","ms"
"sigma.psi.yr",0.277,0.218,0.342,1.033,0.2,"1","0","4","allall","ms"
"mu.p",-1.286,-1.704,-0.964,3.813,-0.5,"1","0","4","allall","ms"
"sigma.p.sp",2.224,1.899,2.693,1.025,NA,"1","0","4","allall","ms"
"p.yr",-0.362,-0.524,-0.25,1.067,-0.5,"1","0","4","allall","ms"
"sigma.p.site",2.465,2.401,2.531,0.996,1.5,"1","0","4","allall","ms"
"per_chage_bci",48.214432162633,39.5575280612051,56.9586512562381,NA,46.211715726001,"1","0","4","allall","ms"
"mu.psi",-1.236,-1.378,-1.14,2.346,0,"-0.5","0","5","allall","ms"
"sigma.psi.sp",0.834,0.694,0.989,1.004,0.5,"-0.5","0","5","allall","ms"
"mu.psi.yr",-0.413,-0.461,-0.356,1.002,-0.5,"-0.5","0","5","allall","ms"
"sigma.psi.yr",0.141,0.083,0.201,1.067,0.2,"-0.5","0","5","allall","ms"
"mu.p",-1.523,-1.865,-1.268,1.692,-0.5,"-0.5","0","5","allall","ms"
"sigma.p.sp",2.268,1.916,2.705,1.002,NA,"-0.5","0","5","allall","ms"
"p.yr",-0.412,-0.56,-0.257,1.102,-0.5,"-0.5","0","5","allall","ms"
"sigma.p.site",2.546,2.474,2.612,1.02,1.5,"-0.5","0","5","allall","ms"
"per_chage_bci",-28.3425483242375,-31.1735158097095,-24.9664992844375,NA,-24.4918662403709,"-0.5","0","5","allall","ms"
"mu.psi",-1.103,-1.354,-0.843,2.19,0,"-1","0","5","allall","ms"
"sigma.psi.sp",0.896,0.753,1.056,1.006,0.5,"-1","0","5","allall","ms"
"mu.psi.yr",-0.739,-0.801,-0.679,1.006,-1,"-1","0","5","allall","ms"
"sigma.psi.yr",0.193,0.143,0.249,1.016,0.2,"-1","0","5","allall","ms"
"mu.p",-1.33,-1.668,-1.121,1.28,-0.5,"-1","0","5","allall","ms"
"sigma.p.sp",2.348,1.98,2.81,1.006,NA,"-1","0","5","allall","ms"
"p.yr",-0.53,-0.72,-0.369,1.025,-0.5,"-1","0","5","allall","ms"
"sigma.p.site",2.511,2.444,2.585,1.001,1.5,"-1","0","5","allall","ms"
"per_chage_bci",-45.0070611434063,-48.3012508208737,-41.7886461448054,NA,-46.211715726001,"-1","0","5","allall","ms"
"mu.psi",-1.112,-1.224,-0.94,1.483,0,"0.5","0","5","allall","ms"
"sigma.psi.sp",0.878,0.75,1.054,1.01,0.5,"0.5","0","5","allall","ms"
"mu.psi.yr",0.299,0.253,0.352,1.005,0.5,"0.5","0","5","allall","ms"
"sigma.psi.yr",0.136,0.093,0.184,1.02,0.2,"0.5","0","5","allall","ms"
"mu.p",-1.042,-1.62,-0.483,7.076,-0.5,"0.5","0","5","allall","ms"
"sigma.p.sp",2.439,2.001,2.963,1.185,NA,"0.5","0","5","allall","ms"
