"sp","mean_baseline","mean_current","per_change","p.yr","mu.psi","r","case","actual.change"
"1",0.685730994152047,0.389824561403509,-43.1519699812383,"-1","0","1","all",6.18586722417364
"10",0.66726368159204,0.535497512437811,-19.7472412764688,"-1","0","1","all",12.7177676954642
"11",0.76019680196802,0.416715867158672,-45.183159666041,"-1","0","1","all",-11.2107575794397
"12",0.694884092725819,0.511047162270184,-26.4557690095479,"-1","0","1","all",-4.20087828987468
"13",0.679029535864979,0.466476793248945,-31.3024296277885,"-1","0","1","all",-12.6094402139982
"14",0.650992366412214,0.417964376590331,-35.7958098811757,"-1","0","1","all",-10.8562226282267
"15",0.697320754716981,0.516993710691824,-25.8599852084348,"-1","0","1","all",14.1384767348053
"16",0.662708333333333,0.506986111111111,-23.4978518285654,"-1","0","1","all",0.175913494648606
"17",0.726469428007889,0.481913214990138,-33.6636620330148,"-1","0","1","all",-12.8376604582821
"18",0.743181003584229,0.411872759856631,-44.5797513835469,"-1","0","1","all",-12.9823524145092
"19",0.643623623623624,0.581001001001001,-9.72969610252261,"-1","0","1","all",3.55557338969371
"2",0.717723577235772,0.466227642276423,-35.0407793384685,"-1","0","1","all",-14.47708606432
"20",0.668752997601918,0.555491606714628,-16.9362068347259,"-1","0","1","all",-0.158285398944025
"21",0.698773096821877,0.579985218033998,-16.9994922998815,"-1","0","1","all",-2.47950122478741
"22",0.737055555555556,0.486847222222222,-33.9470113816236,"-1","0","1","all",-7.61392938175842
"23",0.71001415428167,0.437027600849257,-38.4480438574632,"-1","0","1","all",-14.5306325929724
"24",0.628333333333333,0.469949494949495,-25.2069769311149,"-1","0","1","all",-14.9035037127149
"25",0.653787575150301,0.541155644622578,-17.2276034003597,"-1","0","1","all",8.30757445333492
"26",0.710981818181818,0.473551515151515,-33.3947081287507,"-1","0","1","all",-6.28627299770266
"27",0.711175757575758,0.475054545454545,-33.2015271338969,"-1","0","1","all",-14.2158921214467
"28",0.579060402684564,0.561946308724832,-2.95549374130737,"-1","0","1","all",26.7196823989565
"29",0.664420677361854,0.517260843731432,-22.1485933000662,"-1","0","1","all",4.77803860954182
"3",0.686450916936354,0.46898597626753,-31.6796052424804,"-1","0","1","all",3.71915598696221
"30",0.616025641025641,0.577564102564103,-6.24349635796047,"-1","0","1","all",-2.14294040252171
"31",0.609404761904762,0.526547619047619,-13.5964055479586,"-1","0","1","all",6.85853955155454
"32",0.682567750677507,0.501890243902439,-26.4702671047277,"-1","0","1","all",9.08886554213116
"33",0.672666666666667,0.509463414634146,-24.2621286470546,"-1","0","1","all",-5.62058990595238
"34",0.653657142857143,0.526971428571429,-19.3810647783897,"-1","0","1","all",22.0664068386424
"35",0.57247619047619,0.459904761904762,-19.6639494260522,"-1","0","1","all",-3.3659557161048
"36",0.654720965309201,0.474494720965309,-27.5271839292296,"-1","0","1","all",-15.3870323108231
"37",0.635215311004785,0.509074960127592,-19.8578889223662,"-1","0","1","all",-1.58351833317365
"38",0.700586264656616,0.461641541038526,-34.1063956963539,"-1","0","1","all",2.10650143466466
"39",0.679965337954939,0.567429231658001,-16.550271023432,"-1","0","1","all",15.6426792278762
"4",0.710224948875256,0.604775051124744,-14.8473941837029,"-1","0","1","all",-10.0483820959796
"40",0.69980198019802,0.58230198019802,-16.7904640633843,"-1","0","1","all",0.856832547464508
"41",0.660740740740741,0.52327380952381,-20.8049727738629,"-1","0","1","all",4.76348292625052
"42",0.661282051282051,0.548639053254438,-17.0340322724968,"-1","0","1","all",-0.819916678632375
"43",0.69985632183908,0.501724137931034,-28.3104085403408,"-1","0","1","all",-2.77883830090244
"44",0.696973180076628,0.585172413793103,-16.0408993458304,"-1","0","1","all",-0.299385666479434
"45",0.685479452054795,0.411735159817352,-39.9347188915534,"-1","0","1","all",9.32533917978379
"46",0.557642276422764,0.560731707317073,0.554016620498629,"-1","0","1","all",24.9340890760468
"47",0.640213963963964,0.616385135135135,-3.72201016692759,"-1","0","1","all",9.2215499904904
"48",0.724639303482587,0.49023631840796,-32.3475395204339,"-1","0","1","all",9.52186502699088
