"sp","mean_baseline","mean_current","per_change","mu.psi.yr","mu.v.yr","r","case","actual.change"
"11",0.732944444444444,0.368259259259259,-49.7561838348619,"-1","0","1","all",-47.1535730018455
"12",0.774538461538462,0.352730769230769,-54.4592313040024,"-1","0","1","all",-47.2259750064276
"13",0.841899641577061,0.222831541218638,-73.5322917110137,"-1","0","1","all",-58.0489053191102
"14",0.818463541666667,0.246848958333333,-69.8399567278628,"-1","0","1","all",-61.8693418617518
"15",0.715144278606965,0.454059701492537,-36.5079585930543,"-1","0","1","all",-22.2987222448601
"16",0.713151041666667,0.333489583333333,-53.2371736352017,"-1","0","1","all",-46.3524538852651
"17",0.796750788643533,0.300651945320715,-62.2652465983028,"-1","0","1","all",-55.810461807038
"18",0.758340365682138,0.349423347398031,-53.9226232427019,"-1","0","1","all",-51.5889846063853
"19",0.706587301587302,0.45268253968254,-35.9339548466809,"-1","0","1","all",-37.1804003439648
"2",0.825012919896641,0.29343669250646,-64.4324730643949,"-1","0","1","all",-56.1378130105814
"20",0.732307692307692,0.383885601577909,-47.5786468433527,"-1","0","1","all",-42.4234537539267
"21",0.770022371364653,0.376677852348993,-51.0822196397443,"-1","0","1","all",-42.338939494124
"22",0.818301486199575,0.285817409766454,-65.0718696486949,"-1","0","1","all",-47.8428723058387
"23",0.801582125603865,0.312403381642512,-61.0266532069729,"-1","0","1","all",-56.620981698878
"24",0.769852320675105,0.314050632911392,-59.2063796552575,"-1","0","1","all",-63.3757880968643
"25",0.741885057471264,0.395252873563218,-46.7231655924641,"-1","0","1","all",-34.1483601207908
"26",0.771459566074951,0.344082840236686,-55.3984608697875,"-1","0","1","all",-51.3035271859235
"27",0.830782122905028,0.252811918063315,-69.5694080200838,"-1","0","1","all",-57.3206285324051
"28",0.775142857142857,0.328619047619048,-57.605356923455,"-1","0","1","all",-37.0421079564124
"29",0.758376068376068,0.377996201329535,-50.1571559162002,"-1","0","1","all",-45.5751596253675
"3",0.8383970856102,0.250418943533698,-70.1312244720605,"-1","0","1","all",-48.4159413139665
"30",0.846923076923077,0.155384615384615,-81.653042688465,"-1","0","1","all",-45.3320477117279
"31",0.59036231884058,0.506014492753623,-14.2874677795507,"-1","0","1","all",-28.7534362703362
"32",0.70900406504065,0.408140243902439,-42.4347103173466,"-1","0","1","all",-39.5674187615761
"33",0.787073170731707,0.27,-65.6956925937403,"-1","0","1","all",-48.4008579755091
"34",0.748333333333333,0.447561728395062,-40.192196650994,"-1","0","1","all",-27.499595028696
"35",0.669047619047619,0.346984126984127,-48.1376037959668,"-1","0","1","all",-55.326028816265
"36",0.755131894484412,0.317841726618705,-57.9091111181682,"-1","0","1","all",-59.0546874137131
"37",0.741612903225806,0.344166666666667,-53.5921415108018,"-1","0","1","all",-49.6802790461573
"38",0.796171875,0.324088541666667,-59.2941484316227,"-1","0","1","all",-44.9278642348244
"39",0.713591065292096,0.490816151202749,-31.218848570947,"-1","0","1","all",-20.6952374444778
"4",0.773792048929664,0.418470948012232,-45.9194561909655,"-1","0","1","all",-45.5703737416704
"40",0.748093525179856,0.403177458033573,-46.1060088794858,"-1","0","1","all",-40.2660282989438
"41",0.73130081300813,0.406808943089431,-44.3718732629238,"-1","0","1","all",-43.5302904058605
"42",0.74351966873706,0.367898550724638,-50.5193250167075,"-1","0","1","all",-48.346000145223
"43",0.762285714285714,0.320095238095238,-58.0084957521239,"-1","0","1","all",-44.091473053004
"44",0.778573446327684,0.362570621468927,-53.4314170128621,"-1","0","1","all",-42.8083304698909
"45",0.732152777777778,0.336666666666667,-54.0168832400645,"-1","0","1","all",-43.6227113154112
"46",0.667353951890034,0.425910652920962,-36.1791967044284,"-1","0","1","all",-31.8348937093062
"47",0.75200364298725,0.41448087431694,-44.8831294659077,"-1","0","1","all",-35.5481697725312
"48",0.726266666666667,0.365066666666667,-49.7337984211493,"-1","0","1","all",-31.494873372422
"49",0.785402298850575,0.319247648902821,-59.352340912417,"-1","0","1","all",-56.013901521893
"5",0.798981481481482,0.362418981481481,-54.6398771584193,"-1","0","1","all",-46.4072102465082
"50",0.749259259259259,0.400576131687243,-46.5370461910254,"-1","0","1","all",-32.5574983216464
"51",0.778888888888889,0.281944444444444,-63.8017118402283,"-1","0","1","all",-41.9020308640909
"52",0.800381679389313,0.252620865139949,-68.4374503258623,"-1","0","1","all",-60.372237376564
"53",0.695686274509804,0.456143790849673,-34.4325441563322,"-1","0","1","all",-39.8674790742173
"54",0.703975903614458,0.344538152610442,-51.0582463346454,"-1","0","1","all",-53.5180366981405
"55",0.721569579288026,0.45336569579288,-37.169510909784,"-1","0","1","all",-25.2264710862247
"56",0.749917257683215,0.456052009456265,-39.1863562567974,"-1","0","1","all",-37.0019710724287
"57",0.742801556420233,0.361750972762646,-51.2991094814039,"-1","0","1","all",-51.7163879186159
