"sp","mean_baseline","mean_current","per_change","p.yr","mu.v.yr","r","case","actual.change"
"24",0.607291280148423,0.68852195423624,13.375899958248,"1","-0.5","8","all",-4.63656131971939
"25",0.529917287014061,0.699330024813896,31.9696567655736,"1","-0.5","8","all",11.9966466705935
"26",0.6325,0.52537037037037,-16.9374908505343,"1","-0.5","8","all",-4.87267592878229
"27",0.555490196078431,0.622857142857143,12.1274771821895,"1","-0.5","8","all",0.649715726832995
"28",0.663804878048781,0.573235772357724,-13.6439349402312,"1","-0.5","8","all",8.03515408098129
"29",0.440527777777778,0.661791666666667,50.2270004413897,"1","-0.5","8","all",9.88581428146497
"3",0.530197444831591,0.680232288037166,28.2979189485214,"1","-0.5","8","all",9.60371612571263
"30",0.51037037037037,0.725,42.0537010159652,"1","-0.5","8","all",-8.19929096277851
"31",0.544,0.620512820512821,14.0648567119155,"1","-0.5","8","all",-17.7814381913788
"32",0.65050736497545,0.702918712493181,8.05699525319111,"1","-0.5","8","all",-0.949735081376354
"33",0.492260273972603,0.636849315068493,29.372478085432,"1","-0.5","8","all",-6.98045465709397
"34",0.50017316017316,0.554329004329004,10.8274190756448,"1","-0.5","8","all",-15.0736144967809
"35",0.575,0.525634920634921,-8.58523119392683,"1","-0.5","8","all",21.3961182574655
"36",0.635555555555556,0.611811594202899,-3.73593797506841,"1","-0.5","8","all",-0.972921647920627
"37",0.604900497512438,0.53134328358209,-12.1602171320475,"1","-0.5","8","all",-16.4745158225369
"38",0.579162011173184,0.587262569832402,1.39866885309154,"1","-0.5","8","all",-14.7277568643006
"39",0.667455357142857,0.685709325396825,2.73485980127675,"1","-0.5","8","all",2.47570159602273
"4",0.60377358490566,0.626779874213837,3.81041666666668,"1","-0.5","8","all",-7.25798809935571
"40",0.593287037037037,0.641666666666667,8.15450643776826,"1","-0.5","8","all",0.000546029642621025
"41",0.636297435897436,0.573128205128205,-9.9276261706346,"1","-0.5","8","all",-7.23386366781927
"42",0.60643571978445,0.60445727482679,-0.326241494871537,"1","-0.5","8","all",-8.81129990800467
"43",0.425320512820513,0.715320512820513,68.1838733986436,"1","-0.5","8","all",1.60981689777367
