"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.v.yr","r","case","sp"
"p.yr",-0.03,-0.129,0.095,1.022,0,"0","-0.5","5","detected","ms"
"sigma.p.site",1.17,1.119,1.226,1.008,1.5,"0","-0.5","5","detected","ms"
"per_chage_bci",-1.65642460975561,-5.78891802267496,1.95861040320476,NA,0,"0","-0.5","5","detected","ms"
"mu.psi",0.019,-0.103,0.13,1.298,0,"0","0","5","detected","ms"
"sigma.psi.sp",0.498,0.414,0.617,1.011,0.5,"0","0","5","detected","ms"
"mu.psi.yr",-0.019,-0.123,0.098,1.018,0,"0","0","5","detected","ms"
"sigma.psi.yr",0.234,0.173,0.316,1.009,0.2,"0","0","5","detected","ms"
"mu.p",-0.168,-0.31,-0.001,1.101,-0.5,"0","0","5","detected","ms"
"sigma.p.sp",0.561,0.459,0.682,1.001,NA,"0","0","5","detected","ms"
"p.yr",-0.006,-0.139,0.129,1.114,0,"0","0","5","detected","ms"
"sigma.p.site",1.217,1.171,1.265,1.001,1.5,"0","0","5","detected","ms"
"per_chage_bci",-0.94290539113537,-6.01618328559333,4.95116375509599,NA,0,"0","0","5","detected","ms"
"mu.psi",-0.006,-0.145,0.141,1.18,0,"0.5","-0.5","5","detected","ms"
"sigma.psi.sp",0.533,0.445,0.64,1.033,0.5,"0.5","-0.5","5","detected","ms"
"mu.psi.yr",0.024,-0.068,0.116,1.017,0,"0.5","-0.5","5","detected","ms"
"sigma.psi.yr",0.264,0.192,0.342,1.004,0.2,"0.5","-0.5","5","detected","ms"
"mu.p",-0.277,-0.446,-0.135,1.16,-0.5,"0.5","-0.5","5","detected","ms"
"sigma.p.sp",0.559,0.467,0.674,1,NA,"0.5","-0.5","5","detected","ms"
"p.yr",0.36,0.252,0.492,1.068,0.5,"0.5","-0.5","5","detected","ms"
"sigma.p.site",1.173,1.125,1.23,1.002,1.5,"0.5","-0.5","5","detected","ms"
"per_chage_bci",1.21966343465393,-3.45690898749476,5.95027633099066,NA,0,"0.5","-0.5","5","detected","ms"
"mu.psi",-0.054,-0.185,0.061,1.309,0,"0.5","0","5","detected","ms"
"sigma.psi.sp",0.457,0.373,0.557,1,0.5,"0.5","0","5","detected","ms"
"mu.psi.yr",0.018,-0.059,0.091,1.05,0,"0.5","0","5","detected","ms"
"sigma.psi.yr",0.126,0.067,0.188,1.119,0.2,"0.5","0","5","detected","ms"
"mu.p",-0.173,-0.329,-0.03,1.187,-0.5,"0.5","0","5","detected","ms"
"sigma.p.sp",0.471,0.384,0.574,1.016,NA,"0.5","0","5","detected","ms"
"p.yr",0.355,0.244,0.46,1.118,0.5,"0.5","0","5","detected","ms"
"sigma.p.site",1.208,1.162,1.257,1.01,1.5,"0.5","0","5","detected","ms"
"per_chage_bci",0.941271919307763,-2.88055231078646,4.86330785199775,NA,0,"0.5","0","5","detected","ms"
"mu.psi",-0.035,-0.17,0.081,1.057,0,"1","-0.5","5","detected","ms"
"sigma.psi.sp",0.433,0.357,0.52,0.996,0.5,"1","-0.5","5","detected","ms"
"mu.psi.yr",0.001,-0.083,0.085,1.002,0,"1","-0.5","5","detected","ms"
"sigma.psi.yr",0.148,0.071,0.227,1.012,0.2,"1","-0.5","5","detected","ms"
"mu.p",-0.284,-0.455,-0.107,1.151,-0.5,"1","-0.5","5","detected","ms"
"sigma.p.sp",0.534,0.441,0.668,1.014,NA,"1","-0.5","5","detected","ms"
"p.yr",0.922,0.807,1.07,1.041,1,"1","-0.5","5","detected","ms"
"sigma.p.site",1.258,1.205,1.306,0.998,1.5,"1","-0.5","5","detected","ms"
"per_chage_bci",0.076061909149115,-4.1550600988114,4.52537087321167,NA,0,"1","-0.5","5","detected","ms"
"mu.psi",-0.047,-0.131,0.043,1.122,0,"1","0","5","detected","ms"
"sigma.psi.sp",0.481,0.397,0.574,1.014,0.5,"1","0","5","detected","ms"
"mu.psi.yr",0.036,-0.037,0.115,1.008,0,"1","0","5","detected","ms"
"sigma.psi.yr",0.203,0.136,0.288,1.018,0.2,"1","0","5","detected","ms"
"mu.p",-0.214,-0.336,-0.055,1.293,-0.5,"1","0","5","detected","ms"
"sigma.p.sp",0.502,0.414,0.608,1.005,NA,"1","0","5","detected","ms"
"p.yr",0.749,0.636,0.848,1,1,"1","0","5","detected","ms"
"sigma.p.site",1.256,1.207,1.305,0.997,1.5,"1","0","5","detected","ms"
"per_chage_bci",1.84411635536269,-1.88182553219184,5.89308421272567,NA,0,"1","0","5","detected","ms"
"mu.psi",0.029,-0.096,0.156,1.388,0,"-0.5","-0.5","6","detected","ms"
"sigma.psi.sp",0.567,0.458,0.705,1.015,0.5,"-0.5","-0.5","6","detected","ms"
"mu.psi.yr",-0.029,-0.15,0.085,1.125,0,"-0.5","-0.5","6","detected","ms"
"sigma.psi.yr",0.255,0.166,0.34,1.014,0.2,"-0.5","-0.5","6","detected","ms"
"mu.p",-0.327,-0.462,-0.166,1.229,-0.5,"-0.5","-0.5","6","detected","ms"
"sigma.p.sp",0.545,0.446,0.652,1.003,NA,"-0.5","-0.5","6","detected","ms"
"p.yr",-0.373,-0.488,-0.257,1.193,-0.5,"-0.5","-0.5","6","detected","ms"
"sigma.p.site",1.13,1.077,1.181,1.004,1.5,"-0.5","-0.5","6","detected","ms"
"per_chage_bci",-1.42776265429173,-7.27079980915058,4.24457002178394,NA,0,"-0.5","-0.5","6","detected","ms"
"mu.psi",0.158,0.042,0.27,1.107,0,"-1","-0.5","6","detected","ms"
"sigma.psi.sp",0.401,0.316,0.496,1.001,0.5,"-1","-0.5","6","detected","ms"
"mu.psi.yr",-0.102,-0.219,0.01,1.157,0,"-1","-0.5","6","detected","ms"
"sigma.psi.yr",0.245,0.145,0.351,1.005,0.2,"-1","-0.5","6","detected","ms"
"mu.p",-0.245,-0.355,-0.131,1.017,-0.5,"-1","-0.5","6","detected","ms"
"sigma.p.sp",0.478,0.377,0.595,1.007,NA,"-1","-0.5","6","detected","ms"
"p.yr",-0.642,-0.765,-0.539,1.021,-1,"-1","-0.5","6","detected","ms"
"sigma.p.site",1.147,1.102,1.189,1.003,1.5,"-1","-0.5","6","detected","ms"
"per_chage_bci",-4.6879231563436,-10.1081313872688,0.45097241624043,NA,0,"-1","-0.5","6","detected","ms"
"mu.psi",0.042,-0.074,0.155,1.029,0,"-1","0","6","detected","ms"
"sigma.psi.sp",0.53,0.441,0.652,0.996,0.5,"-1","0","6","detected","ms"
"mu.psi.yr",-0.106,-0.188,-0.02,1.018,0,"-1","0","6","detected","ms"
"sigma.psi.yr",0.168,0.097,0.238,1.019,0.2,"-1","0","6","detected","ms"
"mu.p",-0.142,-0.254,-0.037,1.058,-0.5,"-1","0","6","detected","ms"
"sigma.p.sp",0.345,0.274,0.421,1.002,NA,"-1","0","6","detected","ms"
"p.yr",-0.626,-0.747,-0.506,1.031,-1,"-1","0","6","detected","ms"
"sigma.p.site",1.104,1.064,1.148,1.045,1.5,"-1","0","6","detected","ms"
"per_chage_bci",-5.1981833727007,-9.17708108227792,-0.982997908044879,NA,0,"-1","0","6","detected","ms"
"mu.psi",-0.023,-0.149,0.11,1.022,0,"0","-0.5","6","detected","ms"
"sigma.psi.sp",0.516,0.415,0.633,1.006,0.5,"0","-0.5","6","detected","ms"
"mu.psi.yr",-0.034,-0.117,0.055,1.035,0,"0","-0.5","6","detected","ms"
"sigma.psi.yr",0.231,0.162,0.308,1.009,0.2,"0","-0.5","6","detected","ms"
"mu.p",-0.166,-0.329,0.031,1.188,-0.5,"0","-0.5","6","detected","ms"
"sigma.p.sp",0.577,0.466,0.705,1.042,NA,"0","-0.5","6","detected","ms"
"p.yr",-0.006,-0.127,0.121,1.043,0,"0","-0.5","6","detected","ms"
"sigma.p.site",1.1,1.053,1.145,1.006,1.5,"0","-0.5","6","detected","ms"
"per_chage_bci",-1.69291779853678,-5.8778765532459,2.80799948699082,NA,0,"0","-0.5","6","detected","ms"
"mu.psi",-0.07,-0.188,0.035,1.095,0,"0","0","6","detected","ms"
"sigma.psi.sp",0.509,0.422,0.616,1.007,0.5,"0","0","6","detected","ms"
"mu.psi.yr",-0.006,-0.09,0.074,1.009,0,"0","0","6","detected","ms"
"sigma.psi.yr",0.174,0.106,0.249,1.237,0.2,"0","0","6","detected","ms"
"mu.p",-0.159,-0.303,-0.029,1.088,-0.5,"0","0","6","detected","ms"
"sigma.p.sp",0.487,0.403,0.595,1.004,NA,"0","0","6","detected","ms"
"p.yr",-0.029,-0.148,0.078,1.061,0,"0","0","6","detected","ms"
"sigma.p.site",1.158,1.111,1.199,0.996,1.5,"0","0","6","detected","ms"
"per_chage_bci",-0.279106159900899,-4.7194288206415,3.78739654267348,NA,0,"0","0","6","detected","ms"
"mu.psi",-0.018,-0.131,0.111,1.066,0,"0.5","-0.5","6","detected","ms"
"sigma.psi.sp",0.479,0.389,0.583,1.001,0.5,"0.5","-0.5","6","detected","ms"
"mu.psi.yr",-0.07,-0.143,0.007,1.143,0,"0.5","-0.5","6","detected","ms"
"sigma.psi.yr",0.145,0.075,0.213,1.018,0.2,"0.5","-0.5","6","detected","ms"
"mu.p",-0.159,-0.291,-0.04,1.004,-0.5,"0.5","-0.5","6","detected","ms"
"sigma.p.sp",0.466,0.391,0.562,1.016,NA,"0.5","-0.5","6","detected","ms"
"p.yr",0.431,0.298,0.56,1.217,0.5,"0.5","-0.5","6","detected","ms"
"sigma.p.site",1.197,1.151,1.248,1.033,1.5,"0.5","-0.5","6","detected","ms"
"per_chage_bci",-3.51092736747113,-7.20720727908803,0.349215517500687,NA,0,"0.5","-0.5","6","detected","ms"
"mu.psi",-0.079,-0.265,0.084,1.626,0,"0.5","0","6","detected","ms"
"sigma.psi.sp",0.643,0.54,0.767,1.003,0.5,"0.5","0","6","detected","ms"
"mu.psi.yr",-0.007,-0.083,0.065,1.018,0,"0.5","0","6","detected","ms"
"sigma.psi.yr",0.186,0.112,0.266,1.02,0.2,"0.5","0","6","detected","ms"
"mu.p",-0.186,-0.338,-0.043,1.12,-0.5,"0.5","0","6","detected","ms"
"sigma.p.sp",0.468,0.382,0.583,1.004,NA,"0.5","0","6","detected","ms"
"p.yr",0.335,0.215,0.449,1.032,0.5,"0.5","0","6","detected","ms"
"sigma.p.site",1.186,1.136,1.234,1.012,1.5,"0.5","0","6","detected","ms"
"per_chage_bci",-0.348587867303954,-4.09701481020564,3.54125652365585,NA,0,"0.5","0","6","detected","ms"
"mu.psi",-0.042,-0.153,0.072,1.142,0,"1","-0.5","6","detected","ms"
"sigma.psi.sp",0.454,0.375,0.549,0.998,0.5,"1","-0.5","6","detected","ms"
"mu.psi.yr",0.018,-0.055,0.104,1.003,0,"1","-0.5","6","detected","ms"
"sigma.psi.yr",0.211,0.153,0.292,1.005,0.2,"1","-0.5","6","detected","ms"
"mu.p",-0.208,-0.338,-0.078,1.128,-0.5,"1","-0.5","6","detected","ms"
"sigma.p.sp",0.467,0.387,0.565,1.006,NA,"1","-0.5","6","detected","ms"
"p.yr",0.85,0.728,0.974,1.019,1,"1","-0.5","6","detected","ms"
"sigma.p.site",1.272,1.216,1.33,1.002,1.5,"1","-0.5","6","detected","ms"
"per_chage_bci",0.945693481129214,-2.78777842005049,5.27354733369859,NA,0,"1","-0.5","6","detected","ms"
"mu.psi",-0.097,-0.222,0.019,1.071,0,"1","0","6","detected","ms"
"sigma.psi.sp",0.509,0.42,0.623,1.002,0.5,"1","0","6","detected","ms"
"mu.psi.yr",0.013,-0.061,0.082,1,0,"1","0","6","detected","ms"
"sigma.psi.yr",0.153,0.039,0.232,1.1,0.2,"1","0","6","detected","ms"
"mu.p",-0.245,-0.37,-0.116,1.038,-0.5,"1","0","6","detected","ms"
"sigma.p.sp",0.511,0.417,0.621,1.001,NA,"1","0","6","detected","ms"
"p.yr",0.764,0.656,0.862,1.009,1,"1","0","6","detected","ms"
"sigma.p.site",1.191,1.144,1.236,1.003,1.5,"1","0","6","detected","ms"
"per_chage_bci",0.699033023811155,-3.18374128690127,4.51487032838466,NA,0,"1","0","6","detected","ms"
"mu.psi",-0.026,-0.162,0.095,1.083,0,"-0.5","-0.5","7","detected","ms"
"sigma.psi.sp",0.484,0.392,0.588,1.006,0.5,"-0.5","-0.5","7","detected","ms"
"mu.psi.yr",-0.093,-0.184,0.01,1.027,0,"-0.5","-0.5","7","detected","ms"
"sigma.psi.yr",0.182,0.095,0.279,1.047,0.2,"-0.5","-0.5","7","detected","ms"
"mu.p",-0.259,-0.384,-0.08,1.122,-0.5,"-0.5","-0.5","7","detected","ms"
"sigma.p.sp",0.545,0.462,0.635,0.997,NA,"-0.5","-0.5","7","detected","ms"
"p.yr",-0.367,-0.484,-0.25,1.027,-0.5,"-0.5","-0.5","7","detected","ms"
"sigma.p.site",1.111,1.061,1.16,1.002,1.5,"-0.5","-0.5","7","detected","ms"
"per_chage_bci",-4.67624849542644,-9.21672343646137,0.49428276731101,NA,0,"-0.5","-0.5","7","detected","ms"
"mu.psi",0.082,-0.081,0.206,1.111,0,"-0.5","0","7","detected","ms"
"sigma.psi.sp",0.56,0.462,0.677,1.008,0.5,"-0.5","0","7","detected","ms"
"mu.psi.yr",-0.099,-0.178,-0.009,1.037,0,"-0.5","0","7","detected","ms"
"sigma.psi.yr",0.185,0.106,0.268,1.022,0.2,"-0.5","0","7","detected","ms"
"mu.p",-0.21,-0.355,0.019,1.239,-0.5,"-0.5","0","7","detected","ms"
"sigma.p.sp",0.464,0.385,0.565,1.004,NA,"-0.5","0","7","detected","ms"
"p.yr",-0.309,-0.41,-0.203,1.07,-0.5,"-0.5","0","7","detected","ms"
"sigma.p.site",1.106,1.063,1.152,1.002,1.5,"-0.5","0","7","detected","ms"
"per_chage_bci",-4.72631845871976,-8.71235444329561,-0.414292814594054,NA,0,"-0.5","0","7","detected","ms"
"mu.psi",-0.032,-0.143,0.083,1.022,0,"-1","-0.5","7","detected","ms"
"sigma.psi.sp",0.495,0.403,0.603,1.012,0.5,"-1","-0.5","7","detected","ms"
"mu.psi.yr",-0.077,-0.194,0.033,1.022,0,"-1","-0.5","7","detected","ms"
"sigma.psi.yr",0.195,0.093,0.312,1.025,0.2,"-1","-0.5","7","detected","ms"
"mu.p",-0.222,-0.368,-0.045,1.11,-0.5,"-1","-0.5","7","detected","ms"
"sigma.p.sp",0.496,0.411,0.588,0.998,NA,"-1","-0.5","7","detected","ms"
"p.yr",-0.585,-0.696,-0.449,1.061,-1,"-1","-0.5","7","detected","ms"
"sigma.p.site",1.089,1.038,1.135,1.026,1.5,"-1","-0.5","7","detected","ms"
"per_chage_bci",-3.89108320369509,-9.80606052594433,1.69560588063119,NA,0,"-1","-0.5","7","detected","ms"
"mu.psi",0.035,-0.075,0.157,1,0,"-1","0","7","detected","ms"
"sigma.psi.sp",0.51,0.42,0.638,0.996,0.5,"-1","0","7","detected","ms"
"mu.psi.yr",-0.027,-0.115,0.068,1.005,0,"-1","0","7","detected","ms"
"sigma.psi.yr",0.205,0.13,0.286,1.013,0.2,"-1","0","7","detected","ms"
"mu.p",-0.124,-0.271,0.009,1.203,-0.5,"-1","0","7","detected","ms"
"sigma.p.sp",0.473,0.385,0.593,1.007,NA,"-1","0","7","detected","ms"
"p.yr",-0.699,-0.812,-0.597,1.012,-1,"-1","0","7","detected","ms"
"sigma.p.site",1.136,1.093,1.179,1.011,1.5,"-1","0","7","detected","ms"
"per_chage_bci",-1.30113780485978,-5.5592752724291,3.41823385699696,NA,0,"-1","0","7","detected","ms"
"mu.psi",0.097,-0.029,0.207,1.091,0,"0","-0.5","7","detected","ms"
"sigma.psi.sp",0.504,0.416,0.613,0.996,0.5,"0","-0.5","7","detected","ms"
"mu.psi.yr",-0.022,-0.11,0.052,1.029,0,"0","-0.5","7","detected","ms"
"sigma.psi.yr",0.154,0.089,0.23,1.049,0.2,"0","-0.5","7","detected","ms"
"mu.p",-0.166,-0.294,-0.035,1.039,-0.5,"0","-0.5","7","detected","ms"
"sigma.p.sp",0.549,0.449,0.693,1.001,NA,"0","-0.5","7","detected","ms"
"p.yr",-0.032,-0.152,0.083,1.128,0,"0","-0.5","7","detected","ms"
"sigma.p.site",1.248,1.202,1.301,0.998,1.5,"0","-0.5","7","detected","ms"
"per_chage_bci",-1.02880765087127,-5.12784248167094,2.48816532332417,NA,0,"0","-0.5","7","detected","ms"
"mu.psi",-0.077,-0.213,0.081,1.252,0,"0","0","7","detected","ms"
"sigma.psi.sp",0.462,0.383,0.589,0.997,0.5,"0","0","7","detected","ms"
"mu.psi.yr",0.02,-0.06,0.107,1.053,0,"0","0","7","detected","ms"
"sigma.psi.yr",0.162,0.099,0.233,1.015,0.2,"0","0","7","detected","ms"
"mu.p",-0.143,-0.289,0.032,1.212,-0.5,"0","0","7","detected","ms"
"sigma.p.sp",0.513,0.426,0.615,1.019,NA,"0","0","7","detected","ms"
"p.yr",-0.044,-0.186,0.07,1.1,0,"0","0","7","detected","ms"
"sigma.p.site",1.15,1.102,1.199,0.998,1.5,"0","0","7","detected","ms"
"per_chage_bci",1.07677109526151,-3.15242562047635,5.62533703395154,NA,0,"0","0","7","detected","ms"
"mu.psi",0.101,-0.068,0.249,1.123,0,"0.5","-0.5","7","detected","ms"
"sigma.psi.sp",0.498,0.401,0.605,1.011,0.5,"0.5","-0.5","7","detected","ms"
"mu.psi.yr",-0.007,-0.095,0.093,1.026,0,"0.5","-0.5","7","detected","ms"
"sigma.psi.yr",0.243,0.173,0.322,1.043,0.2,"0.5","-0.5","7","detected","ms"
"mu.p",-0.259,-0.412,-0.116,1.121,-0.5,"0.5","-0.5","7","detected","ms"
"sigma.p.sp",0.558,0.45,0.681,1.013,NA,"0.5","-0.5","7","detected","ms"
"p.yr",0.472,0.358,0.576,1.021,0.5,"0.5","-0.5","7","detected","ms"
"sigma.p.site",1.225,1.172,1.272,1.017,1.5,"0.5","-0.5","7","detected","ms"
"per_chage_bci",-0.328043294674403,-4.53252743383631,4.40167457156015,NA,0,"0.5","-0.5","7","detected","ms"
"mu.psi",-0.041,-0.176,0.082,1.53,0,"0.5","0","7","detected","ms"
"sigma.psi.sp",0.521,0.443,0.645,1.022,0.5,"0.5","0","7","detected","ms"
"mu.psi.yr",0.048,-0.037,0.119,1.001,0,"0.5","0","7","detected","ms"
"sigma.psi.yr",0.212,0.146,0.288,1,0.2,"0.5","0","7","detected","ms"
"mu.p",-0.14,-0.286,0.008,1.033,-0.5,"0.5","0","7","detected","ms"
"sigma.p.sp",0.44,0.357,0.539,0.999,NA,"0.5","0","7","detected","ms"
"p.yr",0.334,0.234,0.435,1.037,0.5,"0.5","0","7","detected","ms"
"sigma.p.site",1.24,1.193,1.295,1.001,1.5,"0.5","0","7","detected","ms"
"per_chage_bci",2.44608212968246,-1.82323276144392,6.12592174344661,NA,0,"0.5","0","7","detected","ms"
"mu.psi",0.01,-0.118,0.144,1.245,0,"1","-0.5","7","detected","ms"
"sigma.psi.sp",0.539,0.438,0.658,1.011,0.5,"1","-0.5","7","detected","ms"
"mu.psi.yr",-0.029,-0.108,0.051,1.047,0,"1","-0.5","7","detected","ms"
"sigma.psi.yr",0.185,0.114,0.267,1.062,0.2,"1","-0.5","7","detected","ms"
"mu.p",-0.206,-0.387,-0.087,1.194,-0.5,"1","-0.5","7","detected","ms"
"sigma.p.sp",0.505,0.417,0.598,0.999,NA,"1","-0.5","7","detected","ms"
"p.yr",0.838,0.725,0.969,1.043,1,"1","-0.5","7","detected","ms"
"sigma.p.site",1.245,1.196,1.302,1.005,1.5,"1","-0.5","7","detected","ms"
"per_chage_bci",-1.40503679334364,-5.19550140880962,2.51558360497856,NA,0,"1","-0.5","7","detected","ms"
"mu.psi",-0.114,-0.23,0.01,1.179,0,"1","0","7","detected","ms"
"sigma.psi.sp",0.519,0.426,0.635,1.042,0.5,"1","0","7","detected","ms"
"mu.psi.yr",0.094,0.019,0.172,0.998,0,"1","0","7","detected","ms"
"sigma.psi.yr",0.153,0.074,0.213,1.036,0.2,"1","0","7","detected","ms"
"mu.p",-0.12,-0.259,-0.002,1.08,-0.5,"1","0","7","detected","ms"
"sigma.p.sp",0.492,0.409,0.594,1.005,NA,"1","0","7","detected","ms"
"p.yr",0.754,0.644,0.864,1.055,1,"1","0","7","detected","ms"
"sigma.p.site",1.213,1.172,1.254,1.021,1.5,"1","0","7","detected","ms"
"per_chage_bci",5.01102893048933,0.927550652532244,8.99422012705606,NA,0,"1","0","7","detected","ms"
"mu.psi",-0.006,-0.129,0.123,1.224,0,"-0.5","-0.5","8","detected","ms"
"sigma.psi.sp",0.517,0.426,0.627,0.997,0.5,"-0.5","-0.5","8","detected","ms"
"mu.psi.yr",-0.053,-0.157,0.066,1.024,0,"-0.5","-0.5","8","detected","ms"
"sigma.psi.yr",0.227,0.14,0.311,1.039,0.2,"-0.5","-0.5","8","detected","ms"
"mu.p",-0.23,-0.392,-0.104,1.037,-0.5,"-0.5","-0.5","8","detected","ms"
"sigma.p.sp",0.512,0.424,0.615,1.01,NA,"-0.5","-0.5","8","detected","ms"
"p.yr",-0.307,-0.438,-0.173,1.01,-0.5,"-0.5","-0.5","8","detected","ms"
"sigma.p.site",1.122,1.073,1.168,0.999,1.5,"-0.5","-0.5","8","detected","ms"
"per_chage_bci",-2.62812043177275,-7.75107323175263,3.24929183892405,NA,0,"-0.5","-0.5","8","detected","ms"
"mu.psi",-0.041,-0.185,0.093,1.384,0,"-0.5","0","8","detected","ms"
"sigma.psi.sp",0.487,0.397,0.612,1.009,0.5,"-0.5","0","8","detected","ms"
"mu.psi.yr",0.008,-0.083,0.093,1.036,0,"-0.5","0","8","detected","ms"
"sigma.psi.yr",0.221,0.151,0.307,1.006,0.2,"-0.5","0","8","detected","ms"
"mu.p",-0.114,-0.265,0.034,1.069,-0.5,"-0.5","0","8","detected","ms"
"sigma.p.sp",0.551,0.45,0.661,1.004,NA,"-0.5","0","8","detected","ms"
"p.yr",-0.39,-0.493,-0.297,1.009,-0.5,"-0.5","0","8","detected","ms"
"sigma.p.site",1.183,1.139,1.234,1.003,1.5,"-0.5","0","8","detected","ms"
"per_chage_bci",0.420935348511062,-4.21751964965538,4.91391183665076,NA,0,"-0.5","0","8","detected","ms"
"mu.psi",0.03,-0.108,0.186,1.067,0,"-1","-0.5","8","detected","ms"
"sigma.psi.sp",0.579,0.47,0.722,1.008,0.5,"-1","-0.5","8","detected","ms"
"mu.psi.yr",0.07,-0.034,0.142,1.258,0,"-1","-0.5","8","detected","ms"
"sigma.psi.yr",0.068,0.001,0.196,2.283,0.2,"-1","-0.5","8","detected","ms"
"mu.p",-0.118,-0.245,0.025,1.114,-0.5,"-1","-0.5","8","detected","ms"
"sigma.p.sp",0.471,0.387,0.576,1.011,NA,"-1","-0.5","8","detected","ms"
"p.yr",-0.73,-0.869,-0.592,1.054,-1,"-1","-0.5","8","detected","ms"
"sigma.p.site",1.107,1.056,1.157,1,1.5,"-1","-0.5","8","detected","ms"
"per_chage_bci",3.43368677724513,-1.74023400615878,7.05125206195791,NA,0,"-1","-0.5","8","detected","ms"
"mu.psi",0.027,-0.109,0.169,1.101,0,"-1","0","8","detected","ms"
"sigma.psi.sp",0.534,0.429,0.68,1.015,0.5,"-1","0","8","detected","ms"
"mu.psi.yr",-0.021,-0.115,0.083,1.009,0,"-1","0","8","detected","ms"
"sigma.psi.yr",0.225,0.134,0.314,1.018,0.2,"-1","0","8","detected","ms"
"mu.p",-0.279,-0.426,-0.109,1.039,-0.5,"-1","0","8","detected","ms"
"sigma.p.sp",0.566,0.455,0.676,1.013,NA,"-1","0","8","detected","ms"
"p.yr",-0.67,-0.78,-0.569,1.009,-1,"-1","0","8","detected","ms"
"sigma.p.site",1.105,1.063,1.149,0.996,1.5,"-1","0","8","detected","ms"
"per_chage_bci",-1.03632693338083,-5.69459959624686,4.04602931862709,NA,0,"-1","0","8","detected","ms"
"mu.psi",-0.145,-0.259,-0.033,1.004,0,"0","-0.5","8","detected","ms"
"sigma.psi.sp",0.553,0.443,0.676,1.005,0.5,"0","-0.5","8","detected","ms"
"mu.psi.yr",0.095,0.003,0.194,1.011,0,"0","-0.5","8","detected","ms"
"sigma.psi.yr",0.187,0.107,0.275,1.041,0.2,"0","-0.5","8","detected","ms"
"mu.p",-0.297,-0.435,-0.171,1.036,-0.5,"0","-0.5","8","detected","ms"
"sigma.p.sp",0.471,0.375,0.581,1.006,NA,"0","-0.5","8","detected","ms"
"p.yr",-0.035,-0.153,0.073,1.007,0,"0","-0.5","8","detected","ms"
"sigma.p.site",1.105,1.061,1.149,0.998,1.5,"0","-0.5","8","detected","ms"
"per_chage_bci",5.1102744812453,0.162566453285146,10.7281147617478,NA,0,"0","-0.5","8","detected","ms"
"mu.psi",0.019,-0.082,0.156,1.139,0,"0.5","-0.5","8","detected","ms"
"sigma.psi.sp",0.49,0.387,0.595,1.004,0.5,"0.5","-0.5","8","detected","ms"
"mu.psi.yr",0.019,-0.069,0.105,1.002,0,"0.5","-0.5","8","detected","ms"
"sigma.psi.yr",0.218,0.147,0.302,1.005,0.2,"0.5","-0.5","8","detected","ms"
"mu.p",-0.282,-0.421,-0.123,1.256,-0.5,"0.5","-0.5","8","detected","ms"
"sigma.p.sp",0.519,0.435,0.628,0.999,NA,"0.5","-0.5","8","detected","ms"
"p.yr",0.452,0.328,0.575,1.014,0.5,"0.5","-0.5","8","detected","ms"
"sigma.p.site",1.2,1.154,1.243,1.009,1.5,"0.5","-0.5","8","detected","ms"
"per_chage_bci",0.980875263707811,-3.46347325636181,5.40325567696812,NA,0,"0.5","-0.5","8","detected","ms"
"mu.psi",0.066,-0.081,0.213,1.022,0,"1","-0.5","8","detected","ms"
"sigma.psi.sp",0.548,0.459,0.655,0.999,0.5,"1","-0.5","8","detected","ms"
"mu.psi.yr",-0.014,-0.086,0.075,1.01,0,"1","-0.5","8","detected","ms"
"sigma.psi.yr",0.219,0.146,0.307,1.037,0.2,"1","-0.5","8","detected","ms"
"mu.p",-0.204,-0.33,-0.053,1.356,-0.5,"1","-0.5","8","detected","ms"
"sigma.p.sp",0.541,0.45,0.66,1.002,NA,"1","-0.5","8","detected","ms"
"p.yr",0.809,0.676,0.925,1.066,1,"1","-0.5","8","detected","ms"
"sigma.p.site",1.269,1.219,1.323,1.02,1.5,"1","-0.5","8","detected","ms"
"per_chage_bci",-0.629818450580235,-4.08809563857015,3.68050364762891,NA,0,"1","-0.5","8","detected","ms"
"mu.psi",-0.162,-0.282,-0.039,1.325,0,"1","0","8","detected","ms"
"sigma.psi.sp",0.45,0.364,0.539,1.007,0.5,"1","0","8","detected","ms"
"mu.psi.yr",0.008,-0.063,0.091,1.043,0,"1","0","8","detected","ms"
"sigma.psi.yr",0.198,0.136,0.261,1.049,0.2,"1","0","8","detected","ms"
"mu.p",-0.227,-0.401,-0.099,1.6,-0.5,"1","0","8","detected","ms"
"sigma.p.sp",0.539,0.453,0.642,1.013,NA,"1","0","8","detected","ms"
"p.yr",0.732,0.626,0.839,1.051,1,"1","0","8","detected","ms"
"sigma.p.site",1.201,1.152,1.248,1.001,1.5,"1","0","8","detected","ms"
"per_chage_bci",0.467978385638901,-3.39443399296662,4.79252787128798,NA,0,"1","0","8","detected","ms"
"mu.psi",0.061,-0.087,0.193,1.045,0,"-0.5","-0.5","9","detected","ms"
"sigma.psi.sp",0.483,0.381,0.598,1.033,0.5,"-0.5","-0.5","9","detected","ms"
"mu.psi.yr",-0.174,-0.282,-0.063,1.047,0,"-0.5","-0.5","9","detected","ms"
"sigma.psi.yr",0.207,0.112,0.287,1.002,0.2,"-0.5","-0.5","9","detected","ms"
"mu.p",-0.307,-0.483,-0.158,1.114,-0.5,"-0.5","-0.5","9","detected","ms"
"sigma.p.sp",0.455,0.371,0.57,1.021,NA,"-0.5","-0.5","9","detected","ms"
