"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.v.yr","r","case","sp"
"sigma.p.site",1.6,1.548,1.652,1.002,1.5,"1","-0.5","1","all","ms"
"per_chage_bci",43.5343963210273,36.2260648414839,50.7532313939734,NA,46.211715726001,"1","-0.5","1","all","ms"
"mu.psi",0.432,0.257,0.63,0.996,0,"1","0","1","all","ms"
"sigma.psi.sp",0.654,0.531,0.802,1.015,0.5,"1","0","1","all","ms"
"mu.psi.yr",1.38,1.239,1.532,1.01,1,"1","0","1","all","ms"
"sigma.psi.yr",0.357,0.205,0.548,1.05,0.2,"1","0","1","all","ms"
"mu.p",-2.196,-2.308,-2.083,1.099,-0.5,"1","0","1","all","ms"
"sigma.p.sp",0.348,0.283,0.426,1.017,NA,"1","0","1","all","ms"
"p.yr",-0.267,-0.356,-0.172,1.032,-0.5,"1","0","1","all","ms"
"sigma.p.site",1.565,1.516,1.611,1.009,1.5,"1","0","1","all","ms"
"per_chage_bci",41.85799701281,34.3845962127761,49.062662308952,NA,46.211715726001,"1","0","1","all","ms"
"mu.psi",0.331,0.197,0.506,1.317,0,"-0.5","-0.5","10","all","ms"
"sigma.psi.sp",0.658,0.542,0.807,1.054,0.5,"-0.5","-0.5","10","all","ms"
"mu.psi.yr",-0.32,-0.46,-0.165,1.327,-0.5,"-0.5","-0.5","10","all","ms"
"sigma.psi.yr",0.216,0.127,0.323,1.074,0.2,"-0.5","-0.5","10","all","ms"
"mu.p",-2.172,-2.287,-2.045,1.012,-0.5,"-0.5","-0.5","10","all","ms"
"sigma.p.sp",0.354,0.293,0.435,1,NA,"-0.5","-0.5","10","all","ms"
"p.yr",-0.984,-1.1,-0.868,1.031,-0.5,"-0.5","-0.5","10","all","ms"
"sigma.p.site",1.542,1.485,1.605,1.008,1.5,"-0.5","-0.5","10","all","ms"
"per_chage_bci",-13.5569403695972,-19.5483468780748,-7.34212584858618,NA,-24.4918662403709,"-0.5","-0.5","10","all","ms"
"mu.psi",0.525,0.336,0.735,2.022,0,"-0.5","0","10","all","ms"
"sigma.psi.sp",0.702,0.591,0.842,1.029,0.5,"-0.5","0","10","all","ms"
"mu.psi.yr",-0.607,-0.725,-0.493,1.04,-0.5,"-0.5","0","10","all","ms"
"sigma.psi.yr",0.233,0.14,0.343,0.998,0.2,"-0.5","0","10","all","ms"
"mu.p",-2.17,-2.259,-2.06,1.087,-0.5,"-0.5","0","10","all","ms"
"sigma.p.sp",0.328,0.273,0.41,1.005,NA,"-0.5","0","10","all","ms"
"p.yr",-0.352,-0.474,-0.247,1.077,-0.5,"-0.5","0","10","all","ms"
"sigma.p.site",1.466,1.417,1.521,1.01,1.5,"-0.5","0","10","all","ms"
"per_chage_bci",-23.6487483552521,-28.7900608048604,-19.1412277593833,NA,-24.4918662403709,"-0.5","0","10","all","ms"
"mu.psi",0.656,0.479,0.842,1.169,0,"-1","-0.5","10","all","ms"
"sigma.psi.sp",0.744,0.61,0.888,1.006,0.5,"-1","-0.5","10","all","ms"
"mu.psi.yr",-0.925,-1.074,-0.799,1.018,-1,"-1","-0.5","10","all","ms"
"sigma.psi.yr",0.268,0.156,0.408,1.027,0.2,"-1","-0.5","10","all","ms"
